   6371000.0000000000        3200.0000476837158     
   6368409.9024421005        3200.0000476837158     
   6363499.9995496999        3200.0000476837158     
   6358590.0972944004        3200.0000476837158     
   6355999.9997365000        3200.0000476837158     
   6355999.9997365000        3900.0000953674316     
   6354376.8887360003        3900.0000953674316     
   6351300.0486893998        3900.0000953674316     
   6348223.2080057003        3900.0000953674316     
   6346600.0976422997        3900.0000953674316     
   6346600.0976422997        4491.0071559516055     
   6341799.7746756999        4489.2379457642965     
   6332700.0728273001        4485.8841536707905     
   6323600.3709789002        4482.5303615772864     
   6318800.0486494005        4480.7611516247880     
   6318800.0486494005        4480.7611516247880     
   6313999.7263198998        4478.9919416722896     
   6304900.0238343999        4475.6381493439740     
   6295800.3219860001        4472.2843572504689     
   6290999.9996565003        4470.5151472979696     
   6290999.9996565003        4470.5151472979696     
   6278912.8779320009        4466.0603097716184     
   6255999.9994664006        4457.6155242261575     
   6233087.1210008003        4449.1707386806956     
   6220999.9999134000        4444.7159013891542     
   6220999.9999134000        4444.7159013891542     
   6208912.8781888997        4440.2610638628021     
   6185999.9997233003        4431.8162783173402     
   6163087.1212577010        4423.3714927718793     
   6150999.9995332006        4418.9166552455263     
   6150999.9995332006        4643.9001161935639     
   6135459.4148228997        4654.7785257531777     
   6105999.9993798006        4675.4001170607689     
   6076540.5845738007        4696.0217079223930     
   6060999.9998634998        4706.9001174820069     
   6060999.9998634998        4706.9001174820069     
   6045459.4151532007        4717.7785270416180     
   6015999.9997100998        4738.4001183492119     
   5986540.5842669997        4759.0217096568040     
   5970999.9995567007        4769.9001192164169     
   5970999.9995567007        4932.4876582357501     
   5953732.6833535004        4982.8601947743218     
   5920999.9997402001        5078.3485892597892     
   5888267.3161269007        5173.8369837452537     
   5870999.9999237005        5224.2095202838254     
   5870999.9999237005        5224.2095202838254     
   5853732.6830834001        5274.5820586809596     
   5820999.9994700998        5370.0704531664232     
   5788267.3158568004        5465.5588476518915     
   5770999.9996536002        5515.9313841904623     
   5770999.9996536002        5516.0172094213631     
   5758912.8779290998        5525.3750059890581     
   5735999.9994635005        5543.1140558926236     
   5713087.1209979001        5560.8531057961909     
   5700999.9999104999        5570.2109018706451     
   5700999.9999104999        5945.1266381302921     
   5683560.0098572001        5996.1170898829578     
   5650499.9995543007        6092.7987268948364     
   5617439.9892514003        6189.5083461088270     
   5599999.9998352006        6240.5361056012725     
   5599999.9998352006        6240.3931714947785     
   5573833.3739433996        6259.1531608273754     
   5524230.7690745005        6294.0803304669735     
   5474628.1635685004        6328.1981066510507     
   5448461.5383138005        6345.8789036856369     
   5448461.5383138005        6345.8789036856369     
   5422294.9124220004        6363.3456282239376     
   5372692.3075531004        6395.8825281342988     
   5323089.7020471003        6427.6902948310080     
   5296923.0767924003        6444.1848407964808     
   5296923.0767924003        6444.1848407964808     
   5270756.4509006003        6460.4876492955427     
   5221153.8460317003        6490.8794786557191     
   5171551.2405257002        6520.6224350472685     
   5145384.6152710002        6536.0600786955356     
   5145384.6152710002        6536.0600786955356     
